TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/53c.jpg,375.0,225.0,stimuli/fractals/53c.jpg,stimuli/fractals/53b.jpg,stimuli/fractals/53a.jpg,375,225,375,75,225,225,-225,-225
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/93a.jpg,375.0,-75.0,stimuli/fractals/93a.jpg,stimuli/fractals/93c.jpg,stimuli/fractals/93b.jpg,375,-75,375,75,375,-225,-225,75
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/124b.jpg,75.0,-75.0,stimuli/fractals/124b.jpg,stimuli/fractals/124a.jpg,stimuli/fractals/124c.jpg,75,-75,225,-75,-75,-75,-375,225
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/111c.jpg,-75.0,225.0,stimuli/fractals/111c.jpg,stimuli/fractals/111b.jpg,stimuli/fractals/111a.jpg,-75,225,-75,75,-225,225,375,-225
5.0,5000.0,1.0,OLP,2.0,0.0,stimuli/fractals/53b.jpg,375.0,225.0,stimuli/fractals/53c.jpg,stimuli/fractals/53b.jpg,stimuli/fractals/53a.jpg,375,225,375,75,225,225,-225,-225
6.0,3000.0,1.0,OLP,2.0,0.0,stimuli/fractals/93c.jpg,375.0,-75.0,stimuli/fractals/93a.jpg,stimuli/fractals/93c.jpg,stimuli/fractals/93b.jpg,375,-75,375,75,375,-225,-225,75
7.0,6000.0,1.0,ERP,2.0,0.0,stimuli/fractals/111c.jpg,-75.0,225.0,stimuli/fractals/111c.jpg,stimuli/fractals/111b.jpg,stimuli/fractals/111a.jpg,-75,225,-75,75,-225,225,375,-225
8.0,2000.0,1.0,ERP,1.0,5.0,stimuli/fractals/61b.jpg,-75.0,-75.0,stimuli/fractals/61b.jpg,stimuli/fractals/61a.jpg,stimuli/fractals/61c.jpg,-75,-75,75,-75,-75,75,375,225
9.0,2000.0,1.0,LLP,2.0,0.0,stimuli/fractals/124b.jpg,225.0,-75.0,stimuli/fractals/124b.jpg,stimuli/fractals/124a.jpg,stimuli/fractals/124c.jpg,75,-75,225,-75,-75,-75,-375,225
10.0,3000.0,1.0,LLP,1.0,4.0,stimuli/fractals/12a.jpg,-75.0,225.0,stimuli/fractals/12a.jpg,stimuli/fractals/12b.jpg,stimuli/fractals/12c.jpg,-75,225,75,225,-225,225,375,-75
