Task,TrialIndex,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,Jitter,Filler
RecognitionPractice,1,1,OBJ,FOIL,stimuli/fractals/156b.jpg,225,-75,0.6,0
RecognitionPractice,1,1,OBJ,LURE,stimuli/fractals/166c.jpg,-75,225,0.6,0
RecognitionPractice,2,1,OBJ,TARGET,stimuli/fractals/167a.jpg,225,225,2,0
RecognitionPractice,4,2,LOC,FOIL,stimuli/fractals/159a.jpg,-75,-225,1,0
RecognitionPractice,5,2,LOC,LURE,stimuli/fractals/148b.jpg,225,-225,1.5,0
RecognitionPractice,6,2,LOC,TARGET,stimuli/fractals/166a.jpg,-75,225,1,0
