TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
20,2000,,2,LOC,FOIL,stimuli/fractals/89c.jpg,-375.0,225.0,28.0,OLP,stimuli/fractals/89c.jpg,375.0,-225.0,stimuli/fractals/89c.jpg,stimuli/fractals/89b.jpg,stimuli/fractals/89a.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-375.0,225.0
21,1000,,2,LOC,LURE,stimuli/fractals/116b.jpg,225.0,-225.0,23.0,LLP,stimuli/fractals/116b.jpg,375.0,-225.0,stimuli/fractals/116b.jpg,stimuli/fractals/116c.jpg,stimuli/fractals/116a.jpg,375.0,-225.0,375.0,-75.0,225.0,-225.0,-375.0,-75.0
22,3000,,2,LOC,TARGET,stimuli/fractals/71c.jpg,375.0,-225.0,25.0,ERP,stimuli/fractals/71c.jpg,375.0,-225.0,stimuli/fractals/71c.jpg,stimuli/fractals/71a.jpg,stimuli/fractals/71b.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-75.0,225.0
23,1000,,2,LOC,TARGET,stimuli/fractals/50c.jpg,-225.0,-225.0,34.0,ERP,stimuli/fractals/50c.jpg,-225.0,-225.0,stimuli/fractals/50c.jpg,stimuli/fractals/50a.jpg,stimuli/fractals/50b.jpg,-225.0,-225.0,-375.0,-225.0,-75.0,-225.0,375.0,75.0
24,1000,,2,LOC,TARGET,stimuli/fractals/41b.jpg,225.0,75.0,36.0,LLP,stimuli/fractals/41b.jpg,225.0,75.0,stimuli/fractals/41b.jpg,stimuli/fractals/41c.jpg,stimuli/fractals/41a.jpg,225.0,75.0,375.0,75.0,225.0,225.0,-375.0,225.0
25,1000,,2,LOC,FOIL,stimuli/fractals/105a.jpg,-375.0,225.0,38.0,LLP,stimuli/fractals/105a.jpg,225.0,-75.0,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,225.0,-75.0,75.0,-75.0,225.0,-225.0,-375.0,225.0
26,5000,,2,LOC,TARGET,stimuli/fractals/87b.jpg,75.0,-225.0,47.0,LLP,stimuli/fractals/87b.jpg,75.0,-225.0,stimuli/fractals/87b.jpg,stimuli/fractals/87c.jpg,stimuli/fractals/87a.jpg,75.0,-225.0,-75.0,-225.0,75.0,-75.0,-225.0,225.0
27,500,,2,LOC,FOIL,stimuli/fractals/63c.jpg,225.0,225.0,30.0,OLP,stimuli/fractals/63c.jpg,-375.0,-225.0,stimuli/fractals/63c.jpg,stimuli/fractals/63b.jpg,stimuli/fractals/63a.jpg,-375.0,-225.0,-225.0,-225.0,-375.0,-75.0,225.0,225.0
28,1000,,2,LOC,LURE,stimuli/fractals/83b.jpg,-75.0,-225.0,35.0,OLP,stimuli/fractals/83b.jpg,-75.0,-75.0,stimuli/fractals/83b.jpg,stimuli/fractals/83c.jpg,stimuli/fractals/83a.jpg,-75.0,-75.0,75.0,-75.0,-75.0,-225.0,375.0,225.0
29,2000,,2,LOC,FOIL,stimuli/fractals/138b.jpg,-375.0,-225.0,56.0,LLP,stimuli/fractals/138b.jpg,225.0,75.0,stimuli/fractals/138b.jpg,stimuli/fractals/138a.jpg,stimuli/fractals/138c.jpg,225.0,75.0,225.0,225.0,375.0,75.0,-375.0,-225.0
30,8000,,2,LOC,FOIL,stimuli/fractals/73c.jpg,375.0,225.0,45.0,ERP,stimuli/fractals/73c.jpg,-225.0,-225.0,stimuli/fractals/73c.jpg,stimuli/fractals/73b.jpg,stimuli/fractals/73a.jpg,-225.0,-225.0,-225.0,-75.0,-375.0,-225.0,375.0,225.0
31,3000,,2,LOC,FOIL,stimuli/fractals/54a.jpg,-225.0,225.0,48.0,ERP,stimuli/fractals/54a.jpg,375.0,-75.0,stimuli/fractals/54a.jpg,stimuli/fractals/54b.jpg,stimuli/fractals/54c.jpg,375.0,-75.0,375.0,75.0,375.0,-225.0,-225.0,225.0
32,500,,2,LOC,FOIL,stimuli/fractals/119c.jpg,375.0,75.0,57.0,ERP,stimuli/fractals/119c.jpg,-375.0,-75.0,stimuli/fractals/119c.jpg,stimuli/fractals/119b.jpg,stimuli/fractals/119a.jpg,-375.0,-75.0,-225.0,-75.0,-375.0,-225.0,375.0,75.0
33,2000,,2,LOC,LURE,stimuli/fractals/39c.jpg,-75.0,225.0,69.0,LLP,stimuli/fractals/39c.jpg,-225.0,225.0,stimuli/fractals/39c.jpg,stimuli/fractals/39b.jpg,stimuli/fractals/39a.jpg,-225.0,225.0,-225.0,75.0,-75.0,225.0,75.0,-225.0
34,1000,,2,LOC,TARGET,stimuli/fractals/26b.jpg,75.0,-75.0,75.0,LLP,stimuli/fractals/26b.jpg,75.0,-75.0,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,75.0,-75.0,75.0,75.0,225.0,-75.0,-375.0,225.0
