TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
26.0,1000.0,1.0,ERP,2.0,0.0,stimuli/fractals/116a.jpg,375.0,75.0,stimuli/fractals/116a.jpg,stimuli/fractals/116b.jpg,stimuli/fractals/116c.jpg,375,75,375,225,225,75,-225,-225
27.0,5000.0,1.0,ERP,2.0,0.0,stimuli/fractals/90c.jpg,375.0,225.0,stimuli/fractals/90c.jpg,stimuli/fractals/90a.jpg,stimuli/fractals/90b.jpg,375,225,375,75,225,225,-375,-225
28.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/107b.jpg,225.0,225.0,stimuli/fractals/107b.jpg,stimuli/fractals/107c.jpg,stimuli/fractals/107a.jpg,225,225,75,225,375,225,-375,-225
29.0,4000.0,1.0,LLP,2.0,0.0,stimuli/fractals/18c.jpg,-75.0,75.0,stimuli/fractals/18c.jpg,stimuli/fractals/18a.jpg,stimuli/fractals/18b.jpg,75,75,-75,75,75,-75,-375,-225
30.0,1000.0,1.0,OLP,1.0,2.0,stimuli/fractals/46c.jpg,-75.0,75.0,stimuli/fractals/46c.jpg,stimuli/fractals/46a.jpg,stimuli/fractals/46b.jpg,-75,75,-225,75,75,75,375,-225
31.0,3000.0,1.0,ERP,2.0,0.0,stimuli/fractals/137b.jpg,-75.0,75.0,stimuli/fractals/137b.jpg,stimuli/fractals/137c.jpg,stimuli/fractals/137a.jpg,-75,75,-75,225,75,75,375,-225
32.0,4000.0,1.0,OLP,2.0,0.0,stimuli/fractals/107c.jpg,225.0,225.0,stimuli/fractals/107b.jpg,stimuli/fractals/107c.jpg,stimuli/fractals/107a.jpg,225,225,75,225,375,225,-375,-225
33.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/46a.jpg,-75.0,75.0,stimuli/fractals/46c.jpg,stimuli/fractals/46a.jpg,stimuli/fractals/46b.jpg,-75,75,-225,75,75,75,375,-225
34.0,3000.0,1.0,ERP,1.0,4.0,stimuli/fractals/120a.jpg,-375.0,-75.0,stimuli/fractals/120a.jpg,stimuli/fractals/120c.jpg,stimuli/fractals/120b.jpg,-375,-75,-375,-225,-225,-75,375,225
35.0,7000.0,1.0,OLP,1.0,1.0,stimuli/fractals/59b.jpg,-375.0,225.0,stimuli/fractals/59b.jpg,stimuli/fractals/59a.jpg,stimuli/fractals/59c.jpg,-375,225,-225,225,-375,75,375,-75
36.0,1000.0,1.0,LLP,1.0,4.0,stimuli/fractals/140c.jpg,375.0,-75.0,stimuli/fractals/140c.jpg,stimuli/fractals/140b.jpg,stimuli/fractals/140a.jpg,375,-75,225,-75,375,-225,-225,75
37.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/59a.jpg,-375.0,225.0,stimuli/fractals/59b.jpg,stimuli/fractals/59a.jpg,stimuli/fractals/59c.jpg,-375,225,-225,225,-375,75,375,-75
38.0,3000.0,1.0,LLP,1.0,1.0,stimuli/fractals/136a.jpg,-375.0,75.0,stimuli/fractals/136a.jpg,stimuli/fractals/136b.jpg,stimuli/fractals/136c.jpg,-375,75,-375,-75,-375,225,375,75
39.0,2000.0,1.0,ERP,2.0,0.0,stimuli/fractals/120a.jpg,-375.0,-75.0,stimuli/fractals/120a.jpg,stimuli/fractals/120c.jpg,stimuli/fractals/120b.jpg,-375,-75,-375,-225,-225,-75,375,225
40.0,1000.0,1.0,LLP,2.0,0.0,stimuli/fractals/136a.jpg,-375.0,-75.0,stimuli/fractals/136a.jpg,stimuli/fractals/136b.jpg,stimuli/fractals/136c.jpg,-375,75,-375,-75,-375,225,375,75
41.0,3000.0,1.0,LLP,2.0,0.0,stimuli/fractals/140c.jpg,225.0,-75.0,stimuli/fractals/140c.jpg,stimuli/fractals/140b.jpg,stimuli/fractals/140a.jpg,375,-75,225,-75,375,-225,-225,75
42.0,3000.0,1.0,BL,0.0,0.0,stimuli/fractals/64a.jpg,225.0,-75.0,stimuli/fractals/64a.jpg,stimuli/fractals/64b.jpg,stimuli/fractals/64c.jpg,225,-75,225,75,75,-75,-375,-225
43.0,2000.0,1.0,OLP,1.0,2.0,stimuli/fractals/129c.jpg,75.0,-75.0,stimuli/fractals/129c.jpg,stimuli/fractals/129a.jpg,stimuli/fractals/129b.jpg,75,-75,75,75,225,-75,-375,225
44.0,2000.0,1.0,OLP,1.0,5.0,stimuli/fractals/63a.jpg,-75.0,75.0,stimuli/fractals/63a.jpg,stimuli/fractals/63c.jpg,stimuli/fractals/63b.jpg,-75,75,75,75,-75,225,375,-225
45.0,1000.0,1.0,ERP,1.0,5.0,stimuli/fractals/126b.jpg,-375.0,225.0,stimuli/fractals/126b.jpg,stimuli/fractals/126a.jpg,stimuli/fractals/126c.jpg,-375,225,-375,75,-225,225,375,-225
46.0,4000.0,1.0,OLP,2.0,0.0,stimuli/fractals/129a.jpg,75.0,-75.0,stimuli/fractals/129c.jpg,stimuli/fractals/129a.jpg,stimuli/fractals/129b.jpg,75,-75,75,75,225,-75,-375,225
47.0,1000.0,1.0,LLP,1.0,1.0,stimuli/fractals/45a.jpg,-375.0,-75.0,stimuli/fractals/45a.jpg,stimuli/fractals/45c.jpg,stimuli/fractals/45b.jpg,-375,-75,-375,-225,-225,-75,225,-225
48.0,1000.0,1.0,ERP,1.0,3.0,stimuli/fractals/94a.jpg,225.0,-225.0,stimuli/fractals/94a.jpg,stimuli/fractals/94c.jpg,stimuli/fractals/94b.jpg,225,-225,75,-225,225,-75,-375,225
49.0,1000.0,1.0,LLP,2.0,0.0,stimuli/fractals/45a.jpg,-375.0,-225.0,stimuli/fractals/45a.jpg,stimuli/fractals/45c.jpg,stimuli/fractals/45b.jpg,-375,-75,-375,-225,-225,-75,225,-225
50.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/63c.jpg,-75.0,75.0,stimuli/fractals/63a.jpg,stimuli/fractals/63c.jpg,stimuli/fractals/63b.jpg,-75,75,75,75,-75,225,375,-225
51.0,3000.0,1.0,ERP,2.0,0.0,stimuli/fractals/126b.jpg,-375.0,225.0,stimuli/fractals/126b.jpg,stimuli/fractals/126a.jpg,stimuli/fractals/126c.jpg,-375,225,-375,75,-225,225,375,-225
52.0,3000.0,1.0,ERP,2.0,0.0,stimuli/fractals/94a.jpg,225.0,-225.0,stimuli/fractals/94a.jpg,stimuli/fractals/94c.jpg,stimuli/fractals/94b.jpg,225,-225,75,-225,225,-75,-375,225
53.0,500.0,1.0,OLP,1.0,1.0,stimuli/fractals/19c.jpg,-375.0,225.0,stimuli/fractals/19c.jpg,stimuli/fractals/19a.jpg,stimuli/fractals/19b.jpg,-375,225,-375,75,-225,225,75,-225
54.0,1000.0,1.0,OLP,1.0,4.0,stimuli/fractals/62a.jpg,375.0,75.0,stimuli/fractals/62a.jpg,stimuli/fractals/62c.jpg,stimuli/fractals/62b.jpg,375,75,375,225,225,75,-75,-225
55.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/19a.jpg,-375.0,225.0,stimuli/fractals/19c.jpg,stimuli/fractals/19a.jpg,stimuli/fractals/19b.jpg,-375,225,-375,75,-225,225,75,-225
56.0,1000.0,1.0,LLP,1.0,4.0,stimuli/fractals/114a.jpg,-225.0,-75.0,stimuli/fractals/114a.jpg,stimuli/fractals/114b.jpg,stimuli/fractals/114c.jpg,-225,-75,-225,75,-225,-225,375,225
57.0,500.0,1.0,ERP,1.0,2.0,stimuli/fractals/82c.jpg,75.0,-75.0,stimuli/fractals/82c.jpg,stimuli/fractals/82a.jpg,stimuli/fractals/82b.jpg,75,-75,75,-225,-75,-75,-375,225
58.0,2000.0,1.0,ERP,1.0,3.0,stimuli/fractals/113a.jpg,75.0,-225.0,stimuli/fractals/113a.jpg,stimuli/fractals/113b.jpg,stimuli/fractals/113c.jpg,75,-225,-75,-225,75,-75,-375,75
59.0,500.0,1.0,OLP,2.0,0.0,stimuli/fractals/62c.jpg,375.0,75.0,stimuli/fractals/62a.jpg,stimuli/fractals/62c.jpg,stimuli/fractals/62b.jpg,375,75,375,225,225,75,-75,-225
60.0,6000.0,1.0,ERP,2.0,0.0,stimuli/fractals/82c.jpg,75.0,-75.0,stimuli/fractals/82c.jpg,stimuli/fractals/82a.jpg,stimuli/fractals/82b.jpg,75,-75,75,-225,-75,-75,-375,225
61.0,8000.0,1.0,LLP,2.0,0.0,stimuli/fractals/114a.jpg,-225.0,75.0,stimuli/fractals/114a.jpg,stimuli/fractals/114b.jpg,stimuli/fractals/114c.jpg,-225,-75,-225,75,-225,-225,375,225
62.0,7000.0,1.0,ERP,2.0,0.0,stimuli/fractals/113a.jpg,75.0,-225.0,stimuli/fractals/113a.jpg,stimuli/fractals/113b.jpg,stimuli/fractals/113c.jpg,75,-225,-75,-225,75,-75,-375,75
63.0,1000.0,1.0,BL,0.0,0.0,stimuli/fractals/64a.jpg,225.0,-75.0,stimuli/fractals/64a.jpg,stimuli/fractals/64b.jpg,stimuli/fractals/64c.jpg,225,-75,225,75,75,-75,-375,-225
64.0,4000.0,1.0,OLP,1.0,1.0,stimuli/fractals/34a.jpg,375.0,-225.0,stimuli/fractals/34a.jpg,stimuli/fractals/34b.jpg,stimuli/fractals/34c.jpg,375,-225,375,-75,225,-225,-75,225
65.0,2000.0,1.0,OLP,1.0,1.0,stimuli/fractals/135b.jpg,75.0,225.0,stimuli/fractals/135b.jpg,stimuli/fractals/135a.jpg,stimuli/fractals/135c.jpg,75,225,75,75,225,225,-375,-225
66.0,4000.0,1.0,OLP,2.0,0.0,stimuli/fractals/34b.jpg,375.0,-225.0,stimuli/fractals/34a.jpg,stimuli/fractals/34b.jpg,stimuli/fractals/34c.jpg,375,-225,375,-75,225,-225,-75,225
67.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/135a.jpg,75.0,225.0,stimuli/fractals/135b.jpg,stimuli/fractals/135a.jpg,stimuli/fractals/135c.jpg,75,225,75,75,225,225,-375,-225
68.0,3000.0,1.0,OLP,1.0,4.0,stimuli/fractals/51a.jpg,-75.0,75.0,stimuli/fractals/51a.jpg,stimuli/fractals/51c.jpg,stimuli/fractals/51b.jpg,-75,75,-75,-75,-75,225,375,-225
69.0,1000.0,1.0,LLP,1.0,2.0,stimuli/fractals/74a.jpg,75.0,75.0,stimuli/fractals/74a.jpg,stimuli/fractals/74c.jpg,stimuli/fractals/74b.jpg,75,75,-75,75,75,-75,-375,-225
70.0,1000.0,1.0,OLP,1.0,3.0,stimuli/fractals/52b.jpg,225.0,-225.0,stimuli/fractals/52b.jpg,stimuli/fractals/52a.jpg,stimuli/fractals/52c.jpg,225,-225,75,-225,375,-225,-375,225
71.0,500.0,1.0,ERP,1.0,5.0,stimuli/fractals/27b.jpg,-75.0,-75.0,stimuli/fractals/27b.jpg,stimuli/fractals/27c.jpg,stimuli/fractals/27a.jpg,-75,-75,-225,-75,-75,75,375,225
72.0,7000.0,1.0,LLP,2.0,0.0,stimuli/fractals/74a.jpg,-75.0,75.0,stimuli/fractals/74a.jpg,stimuli/fractals/74c.jpg,stimuli/fractals/74b.jpg,75,75,-75,75,75,-75,-375,-225
73.0,4000.0,1.0,OLP,2.0,0.0,stimuli/fractals/51c.jpg,-75.0,75.0,stimuli/fractals/51a.jpg,stimuli/fractals/51c.jpg,stimuli/fractals/51b.jpg,-75,75,-75,-75,-75,225,375,-225
74.0,2000.0,1.0,OLP,2.0,0.0,stimuli/fractals/52a.jpg,225.0,-225.0,stimuli/fractals/52b.jpg,stimuli/fractals/52a.jpg,stimuli/fractals/52c.jpg,225,-225,75,-225,375,-225,-375,225
75.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/85c.jpg,225.0,225.0,stimuli/fractals/85c.jpg,stimuli/fractals/85a.jpg,stimuli/fractals/85b.jpg,225,225,375,225,225,75,-75,-225
76.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/80c.jpg,-225.0,-75.0,stimuli/fractals/80c.jpg,stimuli/fractals/80a.jpg,stimuli/fractals/80b.jpg,-225,-75,-75,-75,-375,-75,375,75
