TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
19,1000,1,1,OBJ,OLP,2,0,stimuli/fractals/129a.jpg,0.0390625,-0.06944444444444445,stimuli/fractals/129c.jpg,stimuli/fractals/129a.jpg,stimuli/fractals/129b.jpg,0.0390625,-0.06944444444444445,0.0390625,0.06944444444444445,-0.0390625,-0.06944444444444445,-0.1953125,0.2083333333333333
20,2000,1,1,OBJ,ERP,2,0,stimuli/fractals/45b.jpg,0.1171875,-0.06944444444444445,stimuli/fractals/45b.jpg,stimuli/fractals/45a.jpg,stimuli/fractals/45c.jpg,0.1171875,-0.06944444444444445,0.1171875,-0.2083333333333333,0.1953125,-0.06944444444444445,-0.1953125,0.2083333333333333
21,5000,1,1,OBJ,OLP,2,0,stimuli/fractals/85b.jpg,-0.1953125,0.06944444444444445,stimuli/fractals/85c.jpg,stimuli/fractals/85b.jpg,stimuli/fractals/85a.jpg,-0.1953125,0.06944444444444445,-0.1171875,0.06944444444444445,-0.1953125,0.2083333333333333,0.1953125,-0.06944444444444445
22,1000,1,1,OBJ,ERP,2,0,stimuli/fractals/112a.jpg,0.1953125,0.2083333333333333,stimuli/fractals/112a.jpg,stimuli/fractals/112c.jpg,stimuli/fractals/112b.jpg,0.1953125,0.2083333333333333,0.1171875,0.2083333333333333,0.1953125,0.06944444444444445,-0.0390625,-0.2083333333333333
23,2000,1,1,OBJ,OLP,1,5,stimuli/fractals/121b.jpg,0.1953125,-0.2083333333333333,stimuli/fractals/121b.jpg,stimuli/fractals/121a.jpg,stimuli/fractals/121c.jpg,0.1953125,-0.2083333333333333,0.1171875,-0.2083333333333333,0.1953125,-0.06944444444444445,-0.1953125,0.06944444444444445
24,1000,1,1,OBJ,OLP,1,2,stimuli/fractals/122a.jpg,-0.0390625,-0.06944444444444445,stimuli/fractals/122a.jpg,stimuli/fractals/122b.jpg,stimuli/fractals/122c.jpg,-0.0390625,-0.06944444444444445,-0.0390625,0.06944444444444445,0.0390625,-0.06944444444444445,0.1953125,0.2083333333333333
25,2000,1,1,OBJ,ERP,1,2,stimuli/fractals/55c.jpg,-0.1171875,0.06944444444444445,stimuli/fractals/55c.jpg,stimuli/fractals/55b.jpg,stimuli/fractals/55a.jpg,-0.1171875,0.06944444444444445,-0.0390625,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.2083333333333333
26,1000,1,1,OBJ,ERP,1,4,stimuli/fractals/56a.jpg,-0.0390625,0.2083333333333333,stimuli/fractals/56a.jpg,stimuli/fractals/56c.jpg,stimuli/fractals/56b.jpg,-0.0390625,0.2083333333333333,0.0390625,0.2083333333333333,-0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
27,5000,1,1,OBJ,OLP,2,0,stimuli/fractals/122b.jpg,-0.0390625,-0.06944444444444445,stimuli/fractals/122a.jpg,stimuli/fractals/122b.jpg,stimuli/fractals/122c.jpg,-0.0390625,-0.06944444444444445,-0.0390625,0.06944444444444445,0.0390625,-0.06944444444444445,0.1953125,0.2083333333333333
28,2000,1,1,OBJ,ERP,2,0,stimuli/fractals/55c.jpg,-0.1171875,0.06944444444444445,stimuli/fractals/55c.jpg,stimuli/fractals/55b.jpg,stimuli/fractals/55a.jpg,-0.1171875,0.06944444444444445,-0.0390625,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.2083333333333333
29,4000,1,1,OBJ,OLP,2,0,stimuli/fractals/121a.jpg,0.1953125,-0.2083333333333333,stimuli/fractals/121b.jpg,stimuli/fractals/121a.jpg,stimuli/fractals/121c.jpg,0.1953125,-0.2083333333333333,0.1171875,-0.2083333333333333,0.1953125,-0.06944444444444445,-0.1953125,0.06944444444444445
30,1000,1,1,OBJ,OLP,1,1,stimuli/fractals/60a.jpg,-0.1171875,0.06944444444444445,stimuli/fractals/60a.jpg,stimuli/fractals/60c.jpg,stimuli/fractals/60b.jpg,-0.1171875,0.06944444444444445,-0.1953125,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.06944444444444445
31,3000,1,1,OBJ,ERP,2,0,stimuli/fractals/56a.jpg,-0.0390625,0.2083333333333333,stimuli/fractals/56a.jpg,stimuli/fractals/56c.jpg,stimuli/fractals/56b.jpg,-0.0390625,0.2083333333333333,0.0390625,0.2083333333333333,-0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
32,4000,1,1,OBJ,OLP,2,0,stimuli/fractals/60c.jpg,-0.1171875,0.06944444444444445,stimuli/fractals/60a.jpg,stimuli/fractals/60c.jpg,stimuli/fractals/60b.jpg,-0.1171875,0.06944444444444445,-0.1953125,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.06944444444444445
