Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-300,0,1500,Encoding
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,300,0,500,Encoding
EncodingPractice,-,-,1,stimuli/fractals/149a.jpg,300,0,1000,Encoding
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,212.1320344,212.1320344,1000,Encoding
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,0,300,5000,Encoding
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,300,0,800,Encoding
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-300,0,3000,Encoding
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,300,0,800,Encoding
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300,0,1500,Encoding
