Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,225,225,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.42739589999837,None,82.42739589999837,None,None,82.42739589999837,None,82.94408689999909,None,82.94408689999909,None,None,82.94408689999909,None,85.96069699999862,None,85.96069699999862,None,85.96069699999862,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,225,-75,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.94401199999993,None,86.94401199999993,None,None,86.94401199999993,None,87.96064899999692,None,87.96064899999692,None,None,87.96064899999692,None,90.97723849999966,None,90.97723849999966,None,90.97723849999966,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,225,-75,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.96051839999927,None,91.96051839999927,None,None,91.96051839999927,None,92.97717139999804,None,92.97717139999804,None,None,92.97717139999804,None,95.97708989999956,None,95.97708989999956,None,95.97708989999956,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-375,225,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97706529999778,None,96.97706529999778,None,None,96.97706529999778,None,101.99360709999746,None,101.99360709999746,None,None,101.99360709999746,None,105.01019449999876,None,105.01019449999876,None,105.01019449999876,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-375,225,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.99354149999999,None,105.99354149999999,None,None,105.99354149999999,None,106.81017719999727,None,106.81017719999727,None,None,106.81017719999727,None,109.82675819999713,None,109.82675819999713,None,109.82675819999713,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-75,-75,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.81007979999777,None,110.81007979999777,None,None,110.81007979999777,None,113.82664659999864,None,113.82664659999864,None,None,113.82664659999864,None,116.84324169999672,None,116.84324169999672,None,116.84324169999672,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-225,-225,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8265539999993,None,117.8265539999993,None,None,117.8265539999993,None,118.64324169999963,None,118.64324169999963,None,None,118.64324169999963,None,121.65991839999697,None,121.65991839999697,None,121.65991839999697,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-75,225,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.64326449999862,None,122.64326449999862,None,None,122.64326449999862,None,124.15985849999925,None,124.15985849999925,None,None,124.15985849999925,None,127.17645329999868,None,127.17645329999868,None,127.17645329999868,None,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.15980669999772,None,right,0.574647699999332,129.12639149999814,None,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,,,OLP,1.0,stimuli/fractals/90a.jpg,75.0,-75.0,2000.0,,1.0,1.0,3.0,stimuli/fractals/90a.jpg,stimuli/fractals/90c.jpg,stimuli/fractals/90b.jpg,75,-75,225,-75,75,75,-375,225,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.75977899999998,None,131.75977899999998,None,None,131.75977899999998,None,133.77615759999753,None,133.77615759999753,None,None,133.77615759999753,None,,,,,,,,,,,,,129.12639149999814,None,129.7264080999994,None,,,,,,,i,i,i,i,i,2020_Jul_07_1650,TRK-online,2020.1.3,59.994048590023866,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.60928779999813,None,141.60928779999813,None,k,1,0.18034669999906328,142.59259689999817,None,142.79258959999788,None,None,145.77584338999986,None,145.77584338999986,None,144.7925460999977,144.7925460999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.87574669999958,None,149.87574669999958,None,None,149.87574669999958,None,,,,,,,,,,,,,,,,,,,,,,147.84245769999688,None,145.79252829999677,None,right,2.026567700002488,145.79252829999677,None,,,,,,,,,,
