TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,run_1.thisRepN,run_1.thisTrialN,run_1.thisN,run_1.thisIndex,setup_text.started,setup_text.stopped,main_image.started,main_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2000,1,OLP,1,3,stimuli/fractals/28c.jpg,212.1320344,212.1320344,stimuli/fractals/28c.jpg,stimuli/fractals/28a.jpg,stimuli/fractals/28b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,4.8214579389969,None,5.890428889997565,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
2,6000,1,OLP,1,3,stimuli/fractals/96b.jpg,212.1320344,-212.1320344,stimuli/fractals/96b.jpg,stimuli/fractals/96c.jpg,stimuli/fractals/96a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,1,1,1,,,6.97059773899673,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
3,2000,1,LLP,1,5,stimuli/fractals/30c.jpg,212.1320344,212.1320344,stimuli/fractals/30c.jpg,stimuli/fractals/30b.jpg,stimuli/fractals/30a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,2,2,2,,,7.875638628000161,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
4,1000,1,ERP,1,2,stimuli/fractals/36c.jpg,212.1320344,-212.1320344,stimuli/fractals/36c.jpg,stimuli/fractals/36a.jpg,stimuli/fractals/36b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,3,3,3,,,8.96581771399724,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
5,5000,1,OLP,2,0,stimuli/fractals/28a.jpg,212.1320344,212.1320344,stimuli/fractals/28c.jpg,stimuli/fractals/28a.jpg,stimuli/fractals/28b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,4,4,4,,,9.849781842000084,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
6,3000,1,OLP,2,0,stimuli/fractals/96c.jpg,212.1320344,-212.1320344,stimuli/fractals/96b.jpg,stimuli/fractals/96c.jpg,stimuli/fractals/96a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,5,5,5,,,10.849943637997058,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
7,6000,1,ERP,2,0,stimuli/fractals/36c.jpg,212.1320344,-212.1320344,stimuli/fractals/36c.jpg,stimuli/fractals/36a.jpg,stimuli/fractals/36b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,6,6,6,,,11.847819702998095,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,981.0508074167623,
