Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_fx_key.rt,inter_task_break_continue.started,inter_task_break_continue.stopped,inter_task_break_text.started,inter_task_break_text.stopped,inter_task_break_key.keys,inter_task_break_key.rt,inter_task_break_key.started,inter_task_break_key.stopped,Azonosító kód*,A vizsgálat feltételeibe beleegyezem. (igen/nem)*,Az adatkezelési feltételeket elfogadom. (igen/nem)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,225,225,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.62990030000219,None,96.62990030000219,None,None,96.62990030000219,None,97.14656550000655,None,97.14656550000655,None,j,0.6648884000023827,97.14656550000655,None,100.16316890000599,None,100.16316890000599,None,100.16316890000599,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,225,-75,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.14644340000814,None,101.14644340000814,None,None,101.14644340000814,None,102.16307590001088,None,102.16307590001088,None,f,0.888289700000314,102.16307590001088,None,105.17969129999983,None,105.17969129999983,None,105.17969129999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,225,-75,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.16297180000402,None,106.16297180000402,None,None,106.16297180000402,None,107.1796192000038,None,107.1796192000038,None,f,1.2157236999919405,107.1796192000038,None,110.1962385000079,None,110.1962385000079,None,110.1962385000079,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-375,225,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.17955359999905,None,111.17955359999905,None,None,111.17955359999905,None,116.1960659000033,None,116.1960659000033,None,j,0.29527190000226256,116.1960659000033,None,119.21268290000444,None,119.21268290000444,None,119.21268290000444,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-375,225,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.19599900000321,None,120.19599900000321,None,None,120.19599900000321,None,121.01260729999922,None,121.01260729999922,None,j,2.662771800009068,121.01260729999922,None,124.02920980000636,None,124.02920980000636,None,124.02920980000636,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-75,-75,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.01250560001063,None,125.01250560001063,None,None,125.01250560001063,None,128.02910320000956,None,128.02910320000956,None,f,1.1505015000002459,128.02910320000956,None,131.0625074999989,None,131.0625074999989,None,131.0625074999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-225,-225,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.02916679999908,None,132.02916679999908,None,None,132.02916679999908,None,132.84577820000413,None,132.84577820000413,None,f,0.9176064999919618,132.84577820000413,None,135.86237030000484,None,135.86237030000484,None,135.86237030000484,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-75,225,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.84569139999803,None,136.84569139999803,None,None,136.84569139999803,None,138.36231009999756,None,138.36231009999756,None,f,0.6010298999899533,138.36231009999756,None,141.37892240000656,None,141.37892240000656,None,141.37892240000656,None,,,,,,,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.36219850000634,None,right,2.9464394000096945,143.32887130000745,None,,,,,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
,,,,,,,,OLP,1.0,stimuli/fractals/53c.jpg,375.0,225.0,2000.0,,1.0,1.0,3.0,stimuli/fractals/53c.jpg,stimuli/fractals/53b.jpg,stimuli/fractals/53a.jpg,375,225,375,75,225,225,-225,-225,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3288673000061,None,148.3288673000061,None,None,148.3288673000061,None,150.34521510000923,None,150.34521510000923,None,None,,150.34521510000923,None,,,,,,,,,,,,,143.32887130000745,None,146.29556520000915,None,,,,,,,,,,,,,,,,fhjhs,igen,i,2020_Jul_08_1748,TRK-online,2020.1.3,60.02177590015698,
