TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.10917850001715,None,right,7.3472301999572664,41.022119799861684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.022119799861684,None,48.43892599991523,None,right,0.6983872998971492,48.43892599991523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,48.43892599991523,None,49.1722746999003,None,50.67231389996596,None,50.67231389996596,None,right,0.3132096999324858,55.65612889989279,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.65612889989279,None,55.989109199959785,None,55.989109199959785,None,right,0.4686095998622477,60.97257369989529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.97257369989529,None,61.45586969982833,None,right,0.25793800014071167,66.43931929999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.43931929999962,None,66.7421738000121,None,67.75605440000072,None,right,0.30989310005679727,68.7394212000072,None,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
1,2000,1,OLP,1,3,stimuli/fractals/69a.jpg,475.0,625.0,stimuli/fractals/69a.jpg,stimuli/fractals/69c.jpg,stimuli/fractals/69b.jpg,475,625,325,625,475,475,925,175,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7394212000072,None,69.07274349988438,None,71.12277080002241,None,71.12277080002241,None,None,71.12277080002241,None,73.17268359987065,None,73.17268359987065,None,None,73.17268359987065,None,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
2,6000,1,OLP,1,3,stimuli/fractals/125c.jpg,625.0,475.0,stimuli/fractals/125c.jpg,stimuli/fractals/125a.jpg,stimuli/fractals/125b.jpg,625,475,625,625,775,475,175,175,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13928819983266,None,76.13928819983266,None,None,76.13928819983266,None,82.18953069997951,None,82.18953069997951,None,None,82.18953069997951,None,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
3,2000,1,LLP,1,5,stimuli/fractals/111c.jpg,625.0,325.0,stimuli/fractals/111c.jpg,stimuli/fractals/111b.jpg,stimuli/fractals/111a.jpg,625,325,625,175,475,325,175,625,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.15617269999348,None,85.15617269999348,None,None,85.15617269999348,None,87.18971339985728,None,87.18971339985728,None,None,87.18971339985728,None,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
4,1000,1,ERP,1,2,stimuli/fractals/131c.jpg,175.0,625.0,stimuli/fractals/131c.jpg,stimuli/fractals/131b.jpg,stimuli/fractals/131a.jpg,175,625,325,625,175,475,775,175,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17302550002933,None,90.17302550002933,None,None,90.17302550002933,None,91.20646729995497,None,91.20646729995497,None,None,91.20646729995497,None,i,i,f,24,15,2020_Jun_04_1036,TRK-online,2020.1.3,60.02869371045739,
