Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_trial_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,225,225,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.28184409999812,None,89.28184409999812,None,None,89.28184409999812,None,89.79847759999757,None,89.79847759999757,None,None,89.79847759999757,None,92.81508639999811,None,92.81508639999811,None,92.81508639999811,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,225,-75,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7983710999979,None,93.7983710999979,None,None,93.7983710999979,None,94.81503650000013,None,94.81503650000013,None,None,94.81503650000013,None,97.83161489999839,None,97.83161489999839,None,97.83161489999839,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,225,-75,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.81494029999885,None,98.81494029999885,None,None,98.81494029999885,None,99.83155619999889,None,99.83155619999889,None,None,99.83155619999889,None,102.83149169999888,None,102.83149169999888,None,102.83149169999888,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-375,225,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.83143619999828,None,103.83143619999828,None,None,103.83143619999828,None,108.84799679999924,None,108.84799679999924,None,None,108.84799679999924,None,111.86459449999893,None,111.86459449999893,None,111.86459449999893,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-375,225,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.84794039999906,None,112.84794039999906,None,None,112.84794039999906,None,113.68124089999765,None,113.68124089999765,None,None,113.68124089999765,None,116.68114409999907,None,116.68114409999907,None,116.68114409999907,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-75,-75,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.66444729999785,None,117.66444729999785,None,None,117.66444729999785,None,120.68103960000008,None,120.68103960000008,None,None,120.68103960000008,None,123.69766180000079,None,123.69766180000079,None,123.69766180000079,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-225,-225,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.68095009999888,None,124.68095009999888,None,None,124.68095009999888,None,125.49760569999853,None,125.49760569999853,None,None,125.49760569999853,None,128.51431270000103,None,128.51431270000103,None,128.51431270000103,None,,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-75,225,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.49765489999845,None,129.49765489999845,None,None,129.49765489999845,None,131.01426169999831,None,131.01426169999831,None,j,131.01426169999831,None,134.03083369999877,None,134.03083369999877,None,134.03083369999877,None,0.3102126000012504,,,,,,,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.01413820000016,None,right,1.3111656000000949,135.99744799999826,None,,,,,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,,,OLP,1.0,stimuli/fractals/26b.jpg,75.0,-75.0,2000.0,,1.0,1.0,3.0,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,75,-75,225,-75,75,75,-375,225,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.3640357999975,None,139.3640357999975,None,None,139.3640357999975,None,141.38067349999983,None,141.38067349999983,None,None,141.38067349999983,None,,,,,,,,,,,,,,135.99744799999826,None,137.33076459999938,None,,,,,,,i,i,i,i,i,2020_Jul_07_1620,TRK-online,2020.1.3,59.99944800524072,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.58043469999757,None,149.58043469999757,None,k,1,0.4967252999995253,150.5637394999976,None,151.08040899999833,None,None,154.06368846999976,None,154.06368846999976,None,153.08035489999747,153.08035489999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.18025449999914,None,154.06366139999955,None,right,3.0828999999976077,154.06366139999955,None,,,,,,,,,,
