Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,comprehension_continue_key.rt,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,300.0,0.0,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.87770442499823,None,65.87770442499823,None,None,65.87770442499823,None,66.45049152000138,None,66.45049152000138,None,None,66.45049152000138,None,69.44994709299863,None,69.44994709299863,None,69.44994709299863,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/149a.jpg,300.0,0.0,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.39013667600011,None,70.39013667600011,None,None,70.39013667600011,None,71.46117637700081,None,71.46117637700081,None,None,71.46117637700081,None,74.46799291999923,None,74.46799291999923,None,74.46799291999923,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,212.1320344,212.1320344,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.40086336699824,None,75.40086336699824,None,None,75.40086336699824,None,76.47239689699927,None,76.47239689699927,None,None,76.47239689699927,None,79.47512912800084,None,79.47512912800084,None,79.47512912800084,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,0.0,300.0,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.41209747500034,None,80.41209747500034,None,None,80.41209747500034,None,85.48984733600082,None,85.48984733600082,None,None,85.48984733600082,None,88.49298830100088,None,88.49298830100088,None,88.49298830100088,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,300.0,0.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.42479019799794,None,89.42479019799794,None,None,89.42479019799794,None,90.30040215899862,None,90.30040215899862,None,None,90.30040215899862,None,93.30470235900066,None,93.30470235900066,None,93.30470235900066,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-300.0,0.0,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.23760717500045,None,94.23760717500045,None,None,94.23760717500045,None,97.31354090899913,None,97.31354090899913,None,None,97.31354090899913,None,100.31857753800068,None,100.31857753800068,None,100.31857753800068,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,300.0,0.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.25051792700106,None,101.25051792700106,None,None,101.25051792700106,None,102.11937454700092,None,102.11937454700092,None,None,102.11937454700092,None,105.12513478099936,None,105.12513478099936,None,105.12513478099936,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300.0,0.0,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.06013728399921,None,106.06013728399921,None,None,106.06013728399921,None,107.62911864700072,None,107.62911864700072,None,None,107.62911864700072,None,110.63048010100101,None,110.63048010100101,None,110.63048010100101,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5639764109983,None,right,1.977010524002253,112.5623714229987,None,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,OLP,1,stimuli/fractals/106a.jpg,212.1320344,212.1320344,2000,,1,1,3,stimuli/fractals/106a.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.61313169500136,None,116.61313169500136,None,None,116.61313169500136,None,118.68709943999784,None,118.68709943999784,None,None,118.68709943999784,None,,,,,,,,,,,,,112.5623714229987,None,114.54196907399819,None,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,OLP,1,stimuli/fractals/78a.jpg,212.1320344,-212.1320344,6000,,2,1,3,stimuli/fractals/78a.jpg,stimuli/fractals/78c.jpg,stimuli/fractals/78b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.62657363099788,None,121.62657363099788,None,None,121.62657363099788,None,127.70366677299899,None,127.70366677299899,None,None,127.70366677299899,None,,,,,,,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,LLP,1,stimuli/fractals/129b.jpg,212.1320344,212.1320344,2000,,3,1,5,stimuli/fractals/129b.jpg,stimuli/fractals/129c.jpg,stimuli/fractals/129a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,135.4916454810009,None,135.4916454810009,None,k,1,0.21778876299867989,136.48892081699887,None,136.70946362700124,None,None,139.713743417598,None,139.713743417598,None,138.71625548500015,138.71625548500015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.91681421400062,None,142.91681421400062,None,None,142.91681421400062,None,144.98836176999976,None,144.98836176999976,None,None,144.98836176999976,None,,,,,,,,,,,,,,,140.84560710300138,None,139.72328418599864,None,right,1.1187200409985962,139.72328418599864,None,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,ERP,1,stimuli/fractals/94c.jpg,212.1320344,-212.1320344,1000,,4,1,2,stimuli/fractals/94c.jpg,stimuli/fractals/94b.jpg,stimuli/fractals/94a.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.92988705899916,None,147.92988705899916,None,None,147.92988705899916,None,149.00370817799921,None,149.00370817799921,None,None,149.00370817799921,None,,,,,,,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,OLP,2,stimuli/fractals/106c.jpg,212.1320344,212.1320344,5000,,5,1,0,stimuli/fractals/106a.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,157.59219754399965,None,157.59219754399965,None,k,1,0.37823470899820677,158.58956246999878,None,158.97059216599882,None,None,161.9746108246014,None,161.9746108246014,None,160.97698550600035,160.97698550600035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.76284575400132,None,164.76284575400132,None,None,164.76284575400132,None,169.83885622399976,None,169.83885622399976,None,None,169.83885622399976,None,,,,,,,,,,,,,,,162.6919412770003,None,161.9763487909986,None,right,0.7127934749987617,161.9763487909986,None,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,OLP,2,stimuli/fractals/78c.jpg,212.1320344,-212.1320344,3000,,6,1,0,stimuli/fractals/78a.jpg,stimuli/fractals/78c.jpg,stimuli/fractals/78b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.7791954259992,None,172.7791954259992,None,None,172.7791954259992,None,175.8520992800004,None,175.8520992800004,None,None,175.8520992800004,None,,,,,,,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0026,TRK-online,2020.1.0,948.928029251487,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5424239749991,None,187.5424239749991,None,k,1,0.44009790000200155,188.54041316499934,None,188.98330574699867,None,None,191.9866098756007,None,191.9866098756007,None,190.9886854360011,190.9886854360011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9955590870013,None,right,0.9854999089984631,191.9955590870013,None,,,,,,,,,,
