Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,comprehension_continue_key.rt,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,225.0,225.0,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.13757680007257,None,77.13757680007257,None,None,77.13757680007257,None,77.6542948000133,None,77.6542948000133,None,j,2.610947199864313,77.6542948000133,None,80.67103119986132,None,80.67103119986132,None,80.67103119986132,None,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,225.0,-75.0,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.65440770005807,None,81.65440770005807,None,None,81.65440770005807,None,82.67108320002444,None,82.67108320002444,None,f,0.6100031998939812,82.67108320002444,None,85.68777869991027,None,85.68777869991027,None,85.68777869991027,None,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,225.0,-75.0,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.67116909986362,None,86.67116909986362,None,None,86.67116909986362,None,87.68782790005207,None,87.68782790005207,None,j,0.4731088997796178,87.68782790005207,None,90.7046149999369,None,90.7046149999369,None,90.7046149999369,None,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-375.0,225.0,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.68793409992941,None,91.68793409992941,None,f,91.68793409992941,None,96.70470439991914,None,96.70470439991914,None,f,0.43224110011942685,96.70470439991914,None,99.72144039999694,None,99.72144039999694,None,99.72144039999694,None,2.9370603000279516,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-375.0,225.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.70486529986374,None,100.70486529986374,None,None,100.70486529986374,None,101.52153979986906,None,101.52153979986906,None,None,,101.52153979986906,None,104.53829890000634,None,104.53829890000634,None,104.53829890000634,None,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-75.0,-75.0,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.52155549987219,None,105.52155549987219,None,f,105.52155549987219,None,108.53830499993637,None,108.53830499993637,None,f,2.942536999937147,108.53830499993637,None,111.5550738000311,None,111.5550738000311,None,111.5550738000311,None,2.7434792001731694,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-225.0,-225.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5384174999781,None,112.5384174999781,None,None,112.5384174999781,None,113.35512980003841,None,113.35512980003841,None,j,1.2299601000268012,113.35512980003841,None,116.37183269998059,None,116.37183269998059,None,116.37183269998059,None,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,375.0,225.0,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.35520959994756,None,117.35520959994756,None,f,117.35520959994756,None,118.87185329990461,None,118.87185329990461,None,f,2.2648662999272346,118.87185329990461,None,121.88862299988978,None,121.88862299988978,None,121.88862299988978,None,1.3019344999920577,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.87200829992071,None,right,1.0976022998802364,123.85530350008048,None,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,OLP,1,stimuli/fractals/36a.jpg,225.0,75.0,2000,,1,1,3,stimuli/fractals/36a.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,225,75,375,75,225,225,-375,-225,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0220431999769,None,127.0220431999769,None,None,127.0220431999769,None,129.05545770004392,None,129.05545770004392,None,f,2.7536335999611765,129.05545770004392,None,,,,,,,,,,,,,,123.85530350008048,None,124.97200639988296,None,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,OLP,1,stimuli/fractals/122b.jpg,375.0,-225.0,6000,,2,1,3,stimuli/fractals/122b.jpg,stimuli/fractals/122a.jpg,stimuli/fractals/122c.jpg,375,-225,375,-75,225,-225,-75,75,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.03882770007476,None,132.03882770007476,None,None,132.03882770007476,None,138.07510680006817,None,138.07510680006817,None,j,0.30178039986640215,138.07510680006817,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,LLP,1,stimuli/fractals/8c.jpg,75.0,-225.0,2000,,3,1,5,stimuli/fractals/8c.jpg,stimuli/fractals/8b.jpg,stimuli/fractals/8a.jpg,75,-225,-75,-225,75,-75,-375,225,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.05569919990376,None,141.05569919990376,None,None,141.05569919990376,None,143.09149440005422,None,143.09149440005422,None,f,0.67754239984788,143.09149440005422,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,ERP,1,stimuli/fractals/5a.jpg,-75.0,75.0,1000,,4,1,2,stimuli/fractals/5a.jpg,stimuli/fractals/5b.jpg,stimuli/fractals/5c.jpg,-75,75,75,75,-75,225,375,-225,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0724849998951,None,146.0724849998951,None,None,146.0724849998951,None,147.08917329995893,None,147.08917329995893,None,j,0.7198675000108778,147.08917329995893,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,OLP,2,stimuli/fractals/36c.jpg,-225.0,-225.0,5000,,5,1,0,stimuli/fractals/36a.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,-225,-225,-75,-225,-225,-75,375,225,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0892558998894,None,150.0892558998894,None,None,150.0892558998894,None,155.1227249999065,None,155.1227249999065,None,j,0.5744996999856085,155.1227249999065,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,OLP,2,stimuli/fractals/122a.jpg,375.0,225.0,3000,,6,1,0,stimuli/fractals/122b.jpg,stimuli/fractals/122a.jpg,stimuli/fractals/122c.jpg,375,225,375,75,225,225,75,-225,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.1060836999677,None,158.1060836999677,None,None,158.1060836999677,None,161.12282929988578,None,161.12282929988578,None,f,0.38225640007294714,161.12282929988578,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,ERP,2,stimuli/fractals/5a.jpg,-225.0,225.0,6000,,7,1,0,stimuli/fractals/5a.jpg,stimuli/fractals/5b.jpg,stimuli/fractals/5c.jpg,-225,225,-375,225,-75,225,225,-225,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1229179999791,None,164.1229179999791,None,None,164.1229179999791,None,170.1396975000389,None,170.1396975000389,None,j,0.3651561001315713,170.1396975000389,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
,,,,,,,,ERP,1,stimuli/fractals/88c.jpg,375.0,-225.0,2000,,8,1,5,stimuli/fractals/88c.jpg,stimuli/fractals/88a.jpg,stimuli/fractals/88b.jpg,375,-225,375,-75,225,-225,-225,-75,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.13975450000726,None,173.13975450000726,None,None,173.13975450000726,None,175.15650229994208,None,175.15650229994208,None,f,0.5564019999001175,175.15650229994208,None,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1328,TRK-online,2020.1.3,59.97774823957859,
