experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,participant,date,expName,psychopyVersion,frameRate,
4.242658849005238,None,None,4.242658849005238,None,,,pilot,2020_ápr_28_2130,trk-encoding,2020.1.0,989.3602220511536,
,,,,,9.240030720000505,None,,,,,,
