Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,300.0,0.0,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.21948710399738,None,133.21948710399738,None,None,133.21948710399738,None,133.79636162999668,None,133.79636162999668,None,None,133.79636162999668,None,136.7988902500001,None,136.7988902500001,None,136.7988902500001,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/149a.jpg,300.0,0.0,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.7292992599978,None,137.7292992599978,None,None,137.7292992599978,None,138.80215183899782,None,138.80215183899782,None,None,138.80215183899782,None,141.80585852199874,None,141.80585852199874,None,141.80585852199874,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,212.1320344,212.1320344,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.74071465499946,None,142.74071465499946,None,None,142.74071465499946,None,143.81596480699955,None,143.81596480699955,None,None,143.81596480699955,None,146.81998737999675,None,146.81998737999675,None,146.81998737999675,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,0.0,300.0,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.75326891099758,None,147.75326891099758,None,None,147.75326891099758,None,152.82969286499792,None,152.82969286499792,None,None,152.82969286499792,None,155.83162399299908,None,155.83162399299908,None,155.83162399299908,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,300.0,0.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.76433243799693,None,156.76433243799693,None,None,156.76433243799693,None,157.6463149029987,None,157.6463149029987,None,None,157.6463149029987,None,160.65022643699922,None,160.65022643699922,None,160.65022643699922,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-300.0,0.0,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.5768649089987,None,161.5768649089987,None,None,161.5768649089987,None,164.65145244099767,None,164.65145244099767,None,None,164.65145244099767,None,167.65547609799978,None,167.65547609799978,None,167.65547609799978,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,300.0,0.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.58869180799957,None,168.58869180799957,None,None,168.58869180799957,None,169.4585753249994,None,169.4585753249994,None,None,169.4585753249994,None,172.460176048,None,172.460176048,None,172.460176048,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300.0,0.0,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.39725480799825,None,173.39725480799825,None,None,173.39725480799825,None,174.96751760199913,None,174.96751760199913,None,None,174.96751760199913,None,177.9700750239972,None,177.9700750239972,None,177.9700750239972,None,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.90051790599682,None,right,5.466997744999389,179.89878811800008,None,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,,,OLP,1,stimuli/fractals/7c.jpg,212.1320344,212.1320344,2000,,1,1,3,stimuli/fractals/7c.jpg,stimuli/fractals/7a.jpg,stimuli/fractals/7b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.44152749299974,None,187.44152749299974,None,None,187.44152749299974,None,189.51695694999944,None,189.51695694999944,None,None,189.51695694999944,None,,,,,,,,,,,,,179.89878811800008,None,185.36838058799913,None,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,,,OLP,1,stimuli/fractals/55c.jpg,212.1320344,-212.1320344,6000,,2,1,3,stimuli/fractals/55c.jpg,stimuli/fractals/55a.jpg,stimuli/fractals/55b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.45556523399864,None,192.45556523399864,None,None,192.45556523399864,None,198.53702393299682,None,198.53702393299682,None,None,198.53702393299682,None,,,,,,,,,,,,,,,,,i,i,,,,2020_máj_18_0054,TRK-online,2020.1.0,555.4828181910785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.27105891599786,None,209.27105891599786,None,k,1,1.0162800660000357,210.26845391299867,None,211.28746500299894,None,None,214.28967946019947,None,214.28967946019947,None,213.2918565359978,213.2918565359978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
