Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,DemoImage,DemoX,DemoY,InPractice,DemoText,BlockNr,Filler,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,rec_practice_blocks.thisRepN,rec_practice_blocks.thisTrialN,rec_practice_blocks.thisN,rec_practice_blocks.thisIndex,rec_practice_trials.thisRepN,rec_practice_trials.thisTrialN,rec_practice_trials.thisN,rec_practice_trials.thisIndex,rec_runs.thisRepN,rec_runs.thisTrialN,rec_runs.thisN,rec_runs.thisIndex,rec_blocks.thisRepN,rec_blocks.thisTrialN,rec_blocks.thisN,rec_blocks.thisIndex,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_map.started,enc_fx_map.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_map.started,enc_trial_map.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_map.started,enc_practice_feedback_map.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,demo_map.started,demo_map.stopped,demo_main_image.started,demo_main_image.stopped,demo_image.started,demo_image.stopped,demo_text.started,demo_text.stopped,demo_key.keys,demo_key.rt,demo_key.started,demo_key.stopped,demo_end_text.started,demo_end_text.stopped,demo_end_key.keys,demo_end_key.rt,demo_end_key.started,demo_end_key.stopped,rec_practice_block_text.started,rec_practice_block_text.stopped,rec_fx_map.started,rec_fx_map.stopped,rec_fx_cross.started,rec_fx_cross.stopped,rec_fx_key.keys,rec_fx_key.started,rec_fx_key.stopped,rec_trial_map.started,rec_trial_map.stopped,rec_trial_main_image.started,rec_trial_main_image.stopped,rec_trial_key.keys,rec_trial_key.started,rec_trial_key.stopped,start_rec_run_text.started,start_rec_run_text.stopped,start_rec_block_text.started,start_rec_block_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.507247241999721,None,right,4.505249439000181,5.507247241999721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.017749090999132,None,11.519369706998987,None,11.519369706998987,None,right,5.210521390999929,11.519369706998987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.733179073999054,None,16.733179073999054,None,right,1.0662064230018586,16.733179073999054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.800965303998964,None,right,2.318543663001037,17.800965303998964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,300.0,0.0,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.120865912998852,None,21.131663756998023,None,21.131663756998023,None,None,21.131663756998023,None,21.672309494999354,None,21.672309494999354,None,j,1.3025224480006727,21.672309494999354,None,24.71295611199821,None,24.71295611199821,None,24.71295611199821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,0.0,300.0,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.64369115899899,None,25.64369115899899,None,f,25.64369115899899,None,30.72362675199838,None,30.72362675199838,None,f,1.248060304998944,30.72362675199838,None,33.730505245999666,None,33.730505245999666,None,33.730505245999666,None,1.371689906998654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300.0,0.0,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65459231699788,None,34.65459231699788,None,None,34.65459231699788,None,36.226449508998485,None,36.226449508998485,None,f,2.2964799540022796,36.226449508998485,None,39.23063188499873,None,39.23063188499873,None,39.23063188499873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,212.1320344,212.1320344,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.16490448799959,None,40.16490448799959,None,None,40.16490448799959,None,41.23457526600032,None,41.23457526600032,None,None,,41.23457526600032,None,44.24041900799784,None,44.24041900799784,None,44.24041900799784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
EncodingPractice,-,-,1,stimuli/fractals/177b.jpg,300.0,0.0,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.174270453000645,None,45.174270453000645,None,None,45.174270453000645,None,46.060787439000705,None,46.060787439000705,None,j,0.5627641920000315,46.060787439000705,None,49.0613929200008,None,49.0613929200008,None,49.0613929200008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.98501246199885,None,right,15.369068975000118,49.98501246199885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,OLP,1,stimuli/fractals/101b.jpg,212.1320344,212.1320344,2000,,1,1,3,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4303120020013,None,67.4303120020013,None,None,67.4303120020013,None,69.50220721900041,None,69.50220721900041,None,None,,69.50220721900041,None,,,,,,,,,,,,,,65.35682693600029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,OLP,1,stimuli/fractals/97b.jpg,212.1320344,-212.1320344,6000,,2,1,3,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44221602000107,None,72.44221602000107,None,j,72.44221602000107,None,78.51433012399866,None,78.51433012399866,None,None,,78.51433012399866,None,,,,,,,1.792135474999668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,LLP,1,stimuli/fractals/76b.jpg,212.1320344,212.1320344,2000,,3,1,5,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.56937455099978,None,86.56937455099978,None,None,86.56937455099978,None,88.64167557700057,None,88.64167557700057,None,None,,88.64167557700057,None,,,,,,,,,,,,,,84.49604334800097,None,81.45998420400065,None,right,3.0327131590020144,81.45998420400065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,ERP,1,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,1000,,4,1,2,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.58195691999936,None,91.58195691999936,None,None,91.58195691999936,None,92.65338525900006,None,92.65338525900006,None,None,,92.65338525900006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,OLP,2,stimuli/fractals/101a.jpg,212.1320344,212.1320344,5000,,5,1,0,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.11217524499807,None,115.11217524499807,None,None,115.11217524499807,None,120.18336585399811,None,120.18336585399811,None,None,,120.18336585399811,None,,,,,,,,,,,,,,113.04013269300049,None,95.59106255200095,None,right,17.446187901001394,95.59106255200095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,OLP,2,stimuli/fractals/97c.jpg,212.1320344,-212.1320344,3000,,6,1,0,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.123141570999,None,123.123141570999,None,None,123.123141570999,None,126.19492062199788,None,126.19492062199788,None,None,,126.19492062199788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.13886414999797,None,right,3.1554750310024247,129.13886414999797,None,132.29747213999872,None,134.2976710139992,None,right,6.085265281999455,134.2976710139992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45645,001,2020_ápr_28_1437,trk-encoding,2020.1.0,1028.5458499740141,
