Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,comprehension_continue_key.rt,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,inter_task_break_continue.started,inter_task_break_continue.stopped,inter_task_break_text.started,inter_task_break_text.stopped,inter_task_break_key.keys,inter_task_break_key.rt,inter_task_break_key.started,inter_task_break_key.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.40909979998833,None,82.40909979998833,None,None,82.40909979998833,None,82.9257382999931,None,82.9257382999931,None,j,1.1370951999851968,82.9257382999931,None,85.94245529998443,None,85.94245529998443,None,85.94245529998443,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.92582149998634,None,86.92582149998634,None,None,86.92582149998634,None,87.94251559997792,None,87.94251559997792,None,f,0.6321055000007618,87.94251559997792,None,90.95924329999252,None,90.95924329999252,None,90.95924329999252,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94256589998258,None,91.94256589998258,None,None,91.94256589998258,None,92.95928049998474,None,92.95928049998474,None,j,0.3600868000066839,92.95928049998474,None,95.97601039998699,None,95.97601039998699,None,95.97601039998699,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.95934989998932,None,96.95934989998932,None,f,96.95934989998932,None,101.97611449999386,None,101.97611449999386,None,f,1.1027627000003122,101.97611449999386,None,105.00955089999479,None,105.00955089999479,None,105.00955089999479,None,4.079324199992698,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9762263999728,None,105.9762263999728,None,None,105.9762263999728,None,106.79290729999775,None,106.79290729999775,None,j,1.845907899987651,106.79290729999775,None,109.80964049999602,None,109.80964049999602,None,109.80964049999602,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.79298299999209,None,110.79298299999209,None,None,110.79298299999209,None,113.8097468999913,None,113.8097468999913,None,j,0.6448458000086248,113.8097468999913,None,116.82645939997747,None,116.82645939997747,None,116.82645939997747,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.80984879998141,None,117.80984879998141,None,None,117.80984879998141,None,118.62652039999375,None,118.62652039999375,None,f,0.300533000001451,118.62652039999375,None,121.64321309997467,None,121.64321309997467,None,121.64321309997467,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.62659129998065,None,122.62659129998065,None,None,122.62659129998065,None,124.14326899999287,None,124.14326899999287,None,j,2.959363600006327,124.14326899999287,None,127.16010989999631,None,127.16010989999631,None,127.16010989999631,None,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1433700999769,None,right,1.0558658999798354,129.12671659997432,None,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
,,,,,,,,OLP,1.0,stimuli/fractals/22c.jpg,-0.234375,0.1388888888888889,2000.0,,1.0,1.0,3.0,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.24346779999905,None,132.24346779999905,None,None,132.24346779999905,None,134.26016359997448,None,134.26016359997448,None,j,1.2584955999918748,134.26016359997448,None,,,,,,,,,,,,,,129.12671659997432,None,130.2100797999883,None,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1440,TRK-online,2020.1.3,60.02127153989563,
