Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,DemoImage,DemoX,DemoY,InPractice,DemoText,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,data_protection_text.started,data_protection_text.stopped,data_protection_key.keys,data_protection_key.rt,data_protection_key.started,data_protection_key.stopped,data_procetion_continue.started,data_procetion_continue.stopped,consent_text.started,consent_text.stopped,consent_key.keys,consent_key.rt,consent_key.started,consent_key.stopped,consent_continue.started,consent_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_map.started,enc_fx_map.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_map.started,enc_trial_map.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_map.started,enc_practice_feedback_map.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.started,end_practice_key.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,participant,date,expName,psychopyVersion,frameRate,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300.0,0.0,1500,Encoding,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.86525695399905,None,255.86525695399905,None,None,255.86525695399905,None,257.43378528599715,None,257.43378528599715,None,None,,257.43378528599715,None,260.4373078099961,None,260.4373078099961,None,260.4373078099961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
EncodingPractice,-,-,1,stimuli/fractals/177b.jpg,300.0,0.0,800,Encoding,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.37466608999966,None,261.37466608999966,None,None,261.37466608999966,None,262.24935267499677,None,262.24935267499677,None,None,,262.24935267499677,None,265.2553915969984,None,265.2553915969984,None,265.2553915969984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.17914845099585,None,None,266.17914845099585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,OLP,1,stimuli/fractals/101b.jpg,212.1320344,212.1320344,2000,,1,1,3,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.2487095039978,None,568.2487095039978,None,None,568.2487095039978,None,570.3213431089971,None,570.3213431089971,None,None,,570.3213431089971,None,,,,,,,,,,,,566.1790927679976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,OLP,1,stimuli/fractals/97b.jpg,212.1320344,-212.1320344,6000,,2,1,3,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.2593935469995,None,573.2593935469995,None,None,573.2593935469995,None,579.3317403409965,None,579.3317403409965,None,None,,579.3317403409965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,LLP,1,stimuli/fractals/76b.jpg,212.1320344,212.1320344,2000,,3,1,5,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.4048751359951,None,625.4048751359951,None,None,625.4048751359951,None,627.4740709879989,None,627.4740709879989,None,None,,627.4740709879989,None,,,,,,,,,,,,623.3339661099963,None,582.2772505679968,None,right,41.0519905359979,582.2772505679968,None,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,ERP,1,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,1000,,4,1,2,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.4127757879978,None,630.4127757879978,None,None,630.4127757879978,None,631.4809942919965,None,631.4809942919965,None,None,,631.4809942919965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,OLP,2,stimuli/fractals/101a.jpg,212.1320344,212.1320344,5000,,5,1,0,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.2285143359986,None,1186.2285143359986,None,None,1186.2285143359986,None,1191.3014539249998,None,1191.3014539249998,None,None,,1191.3014539249998,None,,,,,,,,,,,,1184.1579397009991,None,634.4159341909981,None,right,549.7384725579977,634.4159341909981,None,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,OLP,2,stimuli/fractals/97c.jpg,212.1320344,-212.1320344,3000,,6,1,0,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.243317897999,None,1194.243317897999,None,None,1194.243317897999,None,1197.317627669996,None,1197.317627669996,None,None,,1197.317627669996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.2588032119966,None,right,28.26052563900157,1200.2588032119966,None,1228.522355989,None,1230.5222319940003,None,None,1230.5222319940003,None,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.5229600149978,None,right,208.48366612300015,1350.5229600149978,None,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.0090435559978,None,right,0.2665789750026306,1559.0090435559978,None,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.277581716,None,right,0.2680542579983012,1559.277581716,None,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
