TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,run_1.thisRepN,run_1.thisTrialN,run_1.thisN,run_1.thisIndex,setup_text.started,setup_text.stopped,main_image.started,main_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,OLP,1,1,1,Stimuli/Fractals/116b.jpg,Stimuli/Fractals/116a.jpg,Stimuli/Fractals/116c.jpg,0.0,300.0,212.1320344,212.1320344,-212.1320344,212.1320344,0.0,-300.0,0,17,17,17,,,24.72611132699967,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
19,LLP,2,0,1,Stimuli/Fractals/40c.jpg,Stimuli/Fractals/40a.jpg,Stimuli/Fractals/40b.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,300.0,0.0,0,18,18,18,,,25.726426720000745,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
20,OLP,2,0,1,Stimuli/Fractals/116b.jpg,Stimuli/Fractals/116a.jpg,Stimuli/Fractals/116c.jpg,0.0,300.0,212.1320344,212.1320344,-212.1320344,212.1320344,0.0,-300.0,0,19,19,19,,,26.725910309000028,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
21,BL,0,0,1,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,None,None,None,None,None,None,0,20,20,20,,,27.77922965399921,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
22,ERP,1,3,1,Stimuli/Fractals/126c.jpg,Stimuli/Fractals/126a.jpg,Stimuli/Fractals/126b.jpg,-300.0,0.0,-212.1320344,212.1320344,-212.1320344,-212.1320344,212.1320344,-212.1320344,0,21,21,21,,,28.785758711001108,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
23,LLP,1,5,1,Stimuli/Fractals/120c.jpg,Stimuli/Fractals/120a.jpg,Stimuli/Fractals/120b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,0.0,300.0,0,22,22,22,,,29.781519618998573,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
24,ERP,1,2,1,Stimuli/Fractals/56b.jpg,Stimuli/Fractals/56a.jpg,Stimuli/Fractals/56c.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,0.0,300.0,0,23,23,23,,,30.76926937999815,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
25,ERP,1,5,1,Stimuli/Fractals/49c.jpg,Stimuli/Fractals/49b.jpg,Stimuli/Fractals/49a.jpg,-300.0,0.0,-212.1320344,-212.1320344,-212.1320344,212.1320344,212.1320344,212.1320344,0,24,24,24,,,31.7688431280003,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
26,ERP,2,0,1,Stimuli/Fractals/126c.jpg,Stimuli/Fractals/126a.jpg,Stimuli/Fractals/126b.jpg,-300.0,0.0,-212.1320344,212.1320344,-212.1320344,-212.1320344,212.1320344,-212.1320344,0,25,25,25,,,32.76167203500154,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
27,ERP,2,0,1,Stimuli/Fractals/56b.jpg,Stimuli/Fractals/56a.jpg,Stimuli/Fractals/56c.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,0.0,300.0,0,26,26,26,,,33.75897100200018,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
