Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,DemoImage,DemoX,DemoY,InPractice,DemoText,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,rec_practice_blocks.thisRepN,rec_practice_blocks.thisTrialN,rec_practice_blocks.thisN,rec_practice_blocks.thisIndex,rec_practice_trials.thisRepN,rec_practice_trials.thisTrialN,rec_practice_trials.thisN,rec_practice_trials.thisIndex,BlockNr,Filler,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_map.started,enc_fx_map.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_map.started,enc_trial_map.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_map.started,enc_practice_feedback_map.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,demo_map.started,demo_map.stopped,demo_main_image.started,demo_main_image.stopped,demo_image.started,demo_image.stopped,demo_text.started,demo_text.stopped,demo_key.keys,demo_key.rt,demo_key.started,demo_key.stopped,demo_end_text.started,demo_end_text.stopped,demo_end_key.keys,demo_end_key.rt,demo_end_key.started,demo_end_key.stopped,rec_practice_block_text.started,rec_practice_block_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,OLP,1,stimuli/fractals/101b.jpg,212.1320344,212.1320344,2000,,1,1,3,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.48482545399747,None,58.48482545399747,None,None,58.48482545399747,None,60.55829334699956,None,60.55829334699956,None,None,60.55829334699956,None,,,,,,,,,,,,,56.41040211699874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,OLP,1,stimuli/fractals/97b.jpg,212.1320344,-212.1320344,6000,,2,1,3,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.49697617199854,None,63.49697617199854,None,None,63.49697617199854,None,69.56833286899928,None,69.56833286899928,None,None,69.56833286899928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,LLP,1,stimuli/fractals/76b.jpg,212.1320344,212.1320344,2000,,3,1,5,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.83701835399916,None,77.83701835399916,None,None,77.83701835399916,None,79.90963390199977,None,79.90963390199977,None,None,79.90963390199977,None,,,,,,,,,,,,,75.76433072799773,None,72.51303108999855,None,right,3.2476680420004413,72.51303108999855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,ERP,1,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,1000,,4,1,2,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.84657572300057,None,82.84657572300057,None,None,82.84657572300057,None,83.9187611540001,None,83.9187611540001,None,None,83.9187611540001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,OLP,2,stimuli/fractals/101a.jpg,212.1320344,212.1320344,5000,,5,1,0,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.38515520099827,None,90.38515520099827,None,None,90.38515520099827,None,95.45654969099996,None,95.45654969099996,None,None,95.45654969099996,None,,,,,,,,,,,,,88.31168526599868,None,86.853183575,None,right,1.4557097810029518,86.853183575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,OLP,2,stimuli/fractals/97c.jpg,212.1320344,-212.1320344,3000,,6,1,0,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39475708799728,None,98.39475708799728,None,None,98.39475708799728,None,101.46878810699855,None,101.46878810699855,None,None,101.46878810699855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.40634097299699,None,right,3.4670988399993803,104.40634097299699,None,107.87628322299861,None,109.87777454899697,None,right,16.156677827999374,109.87777454899697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.03672448499856,None,right,21.67103238299751,126.03672448499856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.70992383299745,None,right,28.2272280899997,147.70992383299745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.93931879599768,None,right,4.295179282002209,175.93931879599768,None,,,,,,,,,,,,,,,,,,,,,456456,001,2020_ápr_28_1532,trk-encoding,2020.1.0,941.4730456497393,
