,TrialIndex,BlockNr,TrialType,EncodingStimType,StimType,ImagePresented,Xcoordinate,Ycoordinate,EncodingTrialIndex,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,FILLING
38,39,3,OBJ,LLP,LURE,Stimuli/Fractals/140c.jpg,212.1320344,-212.1320344,94.0,Stimuli/Fractals/140a.jpg,212.1320344,-212.1320344,0
39,40,3,OBJ,LLP,TARGET,Stimuli/Fractals/107a.jpg,-212.1320344,212.1320344,97.0,Stimuli/Fractals/107a.jpg,-212.1320344,212.1320344,0
40,41,3,OBJ,ERP,TARGET,Stimuli/Fractals/30a.jpg,212.1320344,-212.1320344,58.0,Stimuli/Fractals/30a.jpg,212.1320344,-212.1320344,0
41,42,3,OBJ,OLP,LURE,Stimuli/Fractals/22a.jpg,-212.1320344,-212.1320344,44.0,Stimuli/Fractals/22b.jpg,-212.1320344,-212.1320344,0
42,43,3,OBJ,LLP,TARGET,Stimuli/Fractals/23c.jpg,-212.1320344,212.1320344,101.0,Stimuli/Fractals/23c.jpg,-212.1320344,212.1320344,0
43,44,3,OBJ,ERP,TARGET,Stimuli/Fractals/136a.jpg,300.0,0.0,71.0,Stimuli/Fractals/136a.jpg,300.0,0.0,0
44,45,3,OBJ,LLP,TARGET,Stimuli/Fractals/51c.jpg,-212.1320344,-212.1320344,108.0,Stimuli/Fractals/51c.jpg,-212.1320344,-212.1320344,0
45,46,3,OBJ,LLP,TARGET,Stimuli/Fractals/138c.jpg,0.0,300.0,117.0,Stimuli/Fractals/138c.jpg,0.0,300.0,0
46,47,3,OBJ,OLP,LURE,Stimuli/Fractals/96a.jpg,-300.0,0.0,53.0,Stimuli/Fractals/96b.jpg,-300.0,0.0,0
47,48,3,OBJ,OLP,LURE,Stimuli/Fractals/42a.jpg,300.0,0.0,54.0,Stimuli/Fractals/42c.jpg,300.0,0.0,0
48,49,3,OBJ,FOIL,FOIL,Stimuli/Fractals/14a.jpg,-281.9077862,-102.606043,0.0,nan,0.0,0.0,0
49,50,3,OBJ,FOIL,FOIL,Stimuli/Fractals/129b.jpg,238.5362389,181.9353256,0.0,nan,0.0,0.0,0
