TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,500,,1,OBJ,FOIL,stimuli/fractals/125b.jpg,-375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
2,1000,,1,OBJ,LURE,stimuli/fractals/53a.jpg,375.0,225.0,1.0,OLP,stimuli/fractals/53c.jpg,375.0,225.0,stimuli/fractals/53c.jpg,stimuli/fractals/53b.jpg,stimuli/fractals/53a.jpg,375.0,225.0,375.0,75.0,225.0,225.0,-225.0,-225.0
3,2000,,1,OBJ,TARGET,stimuli/fractals/93a.jpg,375.0,-75.0,2.0,OLP,stimuli/fractals/93a.jpg,375.0,-75.0,stimuli/fractals/93a.jpg,stimuli/fractals/93c.jpg,stimuli/fractals/93b.jpg,375.0,-75.0,375.0,75.0,375.0,-225.0,-225.0,75.0
4,3000,,1,OBJ,FOIL,stimuli/fractals/50a.jpg,375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,2000,,1,OBJ,TARGET,stimuli/fractals/109b.jpg,-75.0,-225.0,12.0,OLP,stimuli/fractals/109b.jpg,-75.0,-225.0,stimuli/fractals/109b.jpg,stimuli/fractals/109a.jpg,stimuli/fractals/109c.jpg,-75.0,-225.0,-75.0,-75.0,-225.0,-225.0,375.0,225.0
6,1000,,1,OBJ,FOIL,stimuli/fractals/96a.jpg,-375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
7,3000,,1,OBJ,TARGET,stimuli/fractals/142b.jpg,75.0,-75.0,18.0,OLP,stimuli/fractals/142b.jpg,75.0,-75.0,stimuli/fractals/142b.jpg,stimuli/fractals/142a.jpg,stimuli/fractals/142c.jpg,75.0,-75.0,-75.0,-75.0,75.0,75.0,-375.0,225.0
8,1000,,1,OBJ,TARGET,stimuli/fractals/111c.jpg,-75.0,225.0,4.0,ERP,stimuli/fractals/111c.jpg,-75.0,225.0,stimuli/fractals/111c.jpg,stimuli/fractals/111b.jpg,stimuli/fractals/111a.jpg,-75.0,225.0,-75.0,75.0,-225.0,225.0,375.0,-225.0
9,2000,,1,OBJ,TARGET,stimuli/fractals/61b.jpg,-75.0,-75.0,8.0,ERP,stimuli/fractals/61b.jpg,-75.0,-75.0,stimuli/fractals/61b.jpg,stimuli/fractals/61a.jpg,stimuli/fractals/61c.jpg,-75.0,-75.0,75.0,-75.0,-75.0,75.0,375.0,225.0
10,2000,,1,OBJ,FOIL,stimuli/fractals/112b.jpg,-375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
11,6000,,1,OBJ,LURE,stimuli/fractals/124c.jpg,75.0,-75.0,3.0,LLP,stimuli/fractals/124b.jpg,75.0,-75.0,stimuli/fractals/124b.jpg,stimuli/fractals/124a.jpg,stimuli/fractals/124c.jpg,75.0,-75.0,225.0,-75.0,-75.0,-75.0,-375.0,225.0
12,2000,,1,OBJ,FOIL,stimuli/fractals/76b.jpg,375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
13,2000,,1,OBJ,LURE,stimuli/fractals/7b.jpg,-225.0,75.0,11.0,ERP,stimuli/fractals/7a.jpg,-225.0,75.0,stimuli/fractals/7a.jpg,stimuli/fractals/7c.jpg,stimuli/fractals/7b.jpg,-225.0,75.0,-375.0,75.0,-225.0,-75.0,375.0,-75.0
14,3000,,1,OBJ,FOIL,stimuli/fractals/90c.jpg,-375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
15,2000,,1,OBJ,LURE,stimuli/fractals/99b.jpg,375.0,75.0,22.0,ERP,stimuli/fractals/99c.jpg,375.0,75.0,stimuli/fractals/99c.jpg,stimuli/fractals/99a.jpg,stimuli/fractals/99b.jpg,375.0,75.0,375.0,225.0,225.0,75.0,-225.0,-225.0
