TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
23,1000,,2,LOC,TARGET,stimuli/fractals/6a.jpg,-225.0,-225.0,34.0,ERP,stimuli/fractals/6a.jpg,-225.0,-225.0,stimuli/fractals/6a.jpg,stimuli/fractals/6b.jpg,stimuli/fractals/6c.jpg,-225.0,-225.0,-375.0,-225.0,-75.0,-225.0,375.0,75.0
24,1000,,2,LOC,TARGET,stimuli/fractals/33c.jpg,225.0,75.0,36.0,LLP,stimuli/fractals/33c.jpg,225.0,75.0,stimuli/fractals/33c.jpg,stimuli/fractals/33b.jpg,stimuli/fractals/33a.jpg,225.0,75.0,375.0,75.0,225.0,225.0,-375.0,225.0
25,1000,,2,LOC,FOIL,stimuli/fractals/93a.jpg,-375.0,225.0,38.0,LLP,stimuli/fractals/93a.jpg,225.0,-75.0,stimuli/fractals/93a.jpg,stimuli/fractals/93b.jpg,stimuli/fractals/93c.jpg,225.0,-75.0,75.0,-75.0,225.0,-225.0,-375.0,225.0
26,5000,,2,LOC,TARGET,stimuli/fractals/88c.jpg,75.0,-225.0,47.0,LLP,stimuli/fractals/88c.jpg,75.0,-225.0,stimuli/fractals/88c.jpg,stimuli/fractals/88b.jpg,stimuli/fractals/88a.jpg,75.0,-225.0,-75.0,-225.0,75.0,-75.0,-225.0,225.0
27,500,,2,LOC,FOIL,stimuli/fractals/120b.jpg,225.0,225.0,30.0,OLP,stimuli/fractals/120b.jpg,-375.0,-225.0,stimuli/fractals/120b.jpg,stimuli/fractals/120c.jpg,stimuli/fractals/120a.jpg,-375.0,-225.0,-225.0,-225.0,-375.0,-75.0,225.0,225.0
28,1000,,2,LOC,LURE,stimuli/fractals/4c.jpg,-75.0,-225.0,35.0,OLP,stimuli/fractals/4c.jpg,-75.0,-75.0,stimuli/fractals/4c.jpg,stimuli/fractals/4b.jpg,stimuli/fractals/4a.jpg,-75.0,-75.0,75.0,-75.0,-75.0,-225.0,375.0,225.0
29,2000,,2,LOC,FOIL,stimuli/fractals/53b.jpg,-375.0,-225.0,56.0,LLP,stimuli/fractals/53b.jpg,225.0,75.0,stimuli/fractals/53b.jpg,stimuli/fractals/53c.jpg,stimuli/fractals/53a.jpg,225.0,75.0,225.0,225.0,375.0,75.0,-375.0,-225.0
30,8000,,2,LOC,FOIL,stimuli/fractals/14c.jpg,375.0,225.0,45.0,ERP,stimuli/fractals/14c.jpg,-225.0,-225.0,stimuli/fractals/14c.jpg,stimuli/fractals/14a.jpg,stimuli/fractals/14b.jpg,-225.0,-225.0,-225.0,-75.0,-375.0,-225.0,375.0,225.0
31,3000,,2,LOC,FOIL,stimuli/fractals/139b.jpg,-225.0,225.0,48.0,ERP,stimuli/fractals/139b.jpg,375.0,-75.0,stimuli/fractals/139b.jpg,stimuli/fractals/139c.jpg,stimuli/fractals/139a.jpg,375.0,-75.0,375.0,75.0,375.0,-225.0,-225.0,225.0
32,500,,2,LOC,FOIL,stimuli/fractals/119b.jpg,375.0,75.0,57.0,ERP,stimuli/fractals/119b.jpg,-375.0,-75.0,stimuli/fractals/119b.jpg,stimuli/fractals/119a.jpg,stimuli/fractals/119c.jpg,-375.0,-75.0,-225.0,-75.0,-375.0,-225.0,375.0,75.0
33,2000,,2,LOC,LURE,stimuli/fractals/85c.jpg,-75.0,225.0,69.0,LLP,stimuli/fractals/85c.jpg,-225.0,225.0,stimuli/fractals/85c.jpg,stimuli/fractals/85b.jpg,stimuli/fractals/85a.jpg,-225.0,225.0,-225.0,75.0,-75.0,225.0,75.0,-225.0
34,1000,,2,LOC,TARGET,stimuli/fractals/112b.jpg,75.0,-75.0,75.0,LLP,stimuli/fractals/112b.jpg,75.0,-75.0,stimuli/fractals/112b.jpg,stimuli/fractals/112a.jpg,stimuli/fractals/112c.jpg,75.0,-75.0,75.0,75.0,225.0,-75.0,-375.0,225.0
35,1000,,2,LOC,LURE,stimuli/fractals/87c.jpg,375.0,225.0,85.0,LLP,stimuli/fractals/87c.jpg,375.0,75.0,stimuli/fractals/87c.jpg,stimuli/fractals/87b.jpg,stimuli/fractals/87a.jpg,375.0,75.0,225.0,75.0,375.0,225.0,-225.0,225.0
36,1000,,2,LOC,FOIL,stimuli/fractals/58c.jpg,375.0,225.0,43.0,OLP,stimuli/fractals/58c.jpg,-375.0,-75.0,stimuli/fractals/58c.jpg,stimuli/fractals/58a.jpg,stimuli/fractals/58b.jpg,-375.0,-75.0,-375.0,-225.0,-375.0,75.0,375.0,225.0
37,2000,,3,OBJ,FOIL,stimuli/fractals/67a.jpg,-225.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
38,1000,,3,OBJ,FOIL,stimuli/fractals/57a.jpg,-225.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
39,6000,,3,OBJ,LURE,stimuli/fractals/81c.jpg,375.0,-75.0,94.0,LLP,stimuli/fractals/81a.jpg,375.0,-75.0,stimuli/fractals/81a.jpg,stimuli/fractals/81b.jpg,stimuli/fractals/81c.jpg,375.0,-75.0,375.0,75.0,375.0,-225.0,-225.0,225.0
40,2000,,3,OBJ,TARGET,stimuli/fractals/55a.jpg,-75.0,225.0,97.0,LLP,stimuli/fractals/55a.jpg,-75.0,225.0,stimuli/fractals/55a.jpg,stimuli/fractals/55c.jpg,stimuli/fractals/55b.jpg,-75.0,225.0,75.0,225.0,-75.0,75.0,225.0,-225.0
41,1000,,3,OBJ,TARGET,stimuli/fractals/144a.jpg,375.0,225.0,58.0,ERP,stimuli/fractals/144a.jpg,375.0,225.0,stimuli/fractals/144a.jpg,stimuli/fractals/144b.jpg,stimuli/fractals/144c.jpg,375.0,225.0,225.0,225.0,375.0,75.0,-225.0,-75.0
42,3000,,3,OBJ,LURE,stimuli/fractals/76b.jpg,-75.0,225.0,44.0,OLP,stimuli/fractals/76c.jpg,-75.0,225.0,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,stimuli/fractals/76b.jpg,-75.0,225.0,-225.0,225.0,75.0,225.0,375.0,-75.0
43,1000,,3,OBJ,TARGET,stimuli/fractals/44b.jpg,375.0,-225.0,101.0,LLP,stimuli/fractals/44b.jpg,375.0,-225.0,stimuli/fractals/44b.jpg,stimuli/fractals/44c.jpg,stimuli/fractals/44a.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-225.0,75.0
44,5000,,3,OBJ,TARGET,stimuli/fractals/64a.jpg,-75.0,75.0,71.0,ERP,stimuli/fractals/64a.jpg,-75.0,75.0,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-75.0,75.0,-75.0,225.0,-75.0,-75.0,375.0,-225.0
45,1000,,3,OBJ,TARGET,stimuli/fractals/60c.jpg,-375.0,-75.0,108.0,LLP,stimuli/fractals/60c.jpg,-375.0,-75.0,stimuli/fractals/60c.jpg,stimuli/fractals/60b.jpg,stimuli/fractals/60a.jpg,-375.0,-75.0,-375.0,75.0,-225.0,-75.0,225.0,225.0
46,3000,,3,OBJ,TARGET,stimuli/fractals/97c.jpg,-225.0,-225.0,117.0,LLP,stimuli/fractals/97c.jpg,-225.0,-225.0,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,stimuli/fractals/97b.jpg,-225.0,-225.0,-75.0,-225.0,-225.0,-75.0,375.0,-75.0
47,1000,,3,OBJ,LURE,stimuli/fractals/49c.jpg,225.0,-75.0,53.0,OLP,stimuli/fractals/49a.jpg,225.0,-75.0,stimuli/fractals/49a.jpg,stimuli/fractals/49b.jpg,stimuli/fractals/49c.jpg,225.0,-75.0,225.0,-225.0,375.0,-75.0,-375.0,225.0
48,1000,,3,OBJ,LURE,stimuli/fractals/140a.jpg,225.0,225.0,54.0,OLP,stimuli/fractals/140b.jpg,225.0,225.0,stimuli/fractals/140b.jpg,stimuli/fractals/140c.jpg,stimuli/fractals/140a.jpg,225.0,225.0,75.0,225.0,225.0,75.0,-225.0,-225.0
49,3000,,3,OBJ,FOIL,stimuli/fractals/5a.jpg,-225.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
50,2000,,3,OBJ,FOIL,stimuli/fractals/136b.jpg,225.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
51,3000,,3,OBJ,LURE,stimuli/fractals/2b.jpg,75.0,225.0,79.0,ERP,stimuli/fractals/2a.jpg,75.0,225.0,stimuli/fractals/2a.jpg,stimuli/fractals/2c.jpg,stimuli/fractals/2b.jpg,75.0,225.0,-75.0,225.0,75.0,75.0,-375.0,-225.0
52,1000,,3,OBJ,LURE,stimuli/fractals/36a.jpg,225.0,75.0,64.0,OLP,stimuli/fractals/36c.jpg,225.0,75.0,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,stimuli/fractals/36a.jpg,225.0,75.0,225.0,-75.0,225.0,225.0,-225.0,-225.0
53,2000,,3,OBJ,LURE,stimuli/fractals/95c.jpg,75.0,225.0,91.0,ERP,stimuli/fractals/95b.jpg,75.0,225.0,stimuli/fractals/95b.jpg,stimuli/fractals/95a.jpg,stimuli/fractals/95c.jpg,75.0,225.0,-75.0,225.0,225.0,225.0,-375.0,-225.0
