TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,500,,1,OBJ,FOIL,stimuli/fractals/47a.jpg,0.0,-300.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
2,1000,,1,OBJ,LURE,stimuli/fractals/46b.jpg,212.1320344,212.1320344,1.0,OLP,stimuli/fractals/46c.jpg,212.1320344,212.1320344,stimuli/fractals/46c.jpg,stimuli/fractals/46a.jpg,stimuli/fractals/46b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344
3,2000,,1,OBJ,TARGET,stimuli/fractals/120a.jpg,212.1320344,-212.1320344,2.0,OLP,stimuli/fractals/120a.jpg,212.1320344,-212.1320344,stimuli/fractals/120a.jpg,stimuli/fractals/120c.jpg,stimuli/fractals/120b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344
4,3000,,1,OBJ,FOIL,stimuli/fractals/42c.jpg,-212.1320344,212.1320344,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,2000,,1,OBJ,TARGET,stimuli/fractals/85c.jpg,-212.1320344,-212.1320344,12.0,OLP,stimuli/fractals/85c.jpg,-212.1320344,-212.1320344,stimuli/fractals/85c.jpg,stimuli/fractals/85a.jpg,stimuli/fractals/85b.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344
6,1000,,1,OBJ,FOIL,stimuli/fractals/18b.jpg,212.1320344,212.1320344,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
7,3000,,1,OBJ,TARGET,stimuli/fractals/7a.jpg,0.0,300.0,18.0,OLP,stimuli/fractals/7a.jpg,0.0,300.0,stimuli/fractals/7a.jpg,stimuli/fractals/7b.jpg,stimuli/fractals/7c.jpg,0.0,300.0,212.1320344,212.1320344,-212.1320344,212.1320344,0.0,-300.0
8,1000,,1,OBJ,TARGET,stimuli/fractals/33b.jpg,212.1320344,-212.1320344,4.0,ERP,stimuli/fractals/33b.jpg,212.1320344,-212.1320344,stimuli/fractals/33b.jpg,stimuli/fractals/33a.jpg,stimuli/fractals/33c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0
9,2000,,1,OBJ,TARGET,stimuli/fractals/73c.jpg,-212.1320344,-212.1320344,8.0,ERP,stimuli/fractals/73c.jpg,-212.1320344,-212.1320344,stimuli/fractals/73c.jpg,stimuli/fractals/73a.jpg,stimuli/fractals/73b.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344
10,2000,,1,OBJ,FOIL,stimuli/fractals/29b.jpg,-212.1320344,-212.1320344,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
